,b_logistic_f1,b_logistic_precision,b_logistic_recall,b_multi_f1,b_multi_precision,b_multi_recall,f_logistic_f1,f_logistic_precision,f_logistic_recall,f_multi_f1,f_multi_precision,f_multi_recall,n_logistic_f1,n_logistic_precision,n_logistic_recall,n_multi_f1,n_multi_precision,n_multi_recall
0,0.695266272,0.683139535,0.707831325,0.726810673,0.628571429,0.861445783,0.711711712,0.709580838,0.713855422,0.728192162,0.62745098,0.86746988,0.708823529,0.692528736,0.725903614,0.70860077,0.617449664,0.831325301
1,0.691472868,0.661721068,0.724025974,0.69986541,0.597701149,0.844155844,0.695517774,0.663716814,0.730519481,0.692722372,0.592165899,0.834415584,0.685714286,0.670807453,0.701298701,0.673825503,0.574370709,0.814935065
2,0.69286754,0.655647383,0.734567901,0.741976893,0.635164835,0.891975309,0.694117647,0.662921348,0.728395062,0.729381443,0.626106195,0.87345679,0.666666667,0.646376812,0.688271605,0.703703704,0.615740741,0.820987654
3,0.718654434,0.723076923,0.714285714,0.714848883,0.62962963,0.82674772,0.714503817,0.717791411,0.711246201,0.720838794,0.633640553,0.835866261,0.697160883,0.724590164,0.671732523,0.686327078,0.613908873,0.778115502
4,0.676236045,0.660436137,0.692810458,0.692198582,0.611528822,0.797385621,0.664536741,0.65,0.679738562,0.682651622,0.600496278,0.790849673,0.656101426,0.636923077,0.676470588,0.676630435,0.579069767,0.81372549
5,0.693641618,0.693641618,0.693641618,0.729763387,0.641137856,0.846820809,0.7,0.692090395,0.708092486,0.73110285,0.639913232,0.852601156,0.71932299,0.702479339,0.73699422,0.719072165,0.648837209,0.806358382
6,0.68338558,0.660606061,0.707792208,0.689564069,0.581291759,0.847402597,0.703703704,0.670588235,0.74025974,0.682291667,0.569565217,0.850649351,0.686064319,0.649275362,0.727272727,0.661333333,0.561085973,0.805194805
7,0.673716012,0.675757576,0.671686747,0.709256845,0.625287356,0.819277108,0.694239291,0.68115942,0.707831325,0.719590269,0.625835189,0.846385542,0.702453988,0.715625,0.689759036,0.690196078,0.609699769,0.795180723
8,0.67496112,0.665644172,0.684542587,0.723404255,0.625287356,0.858044164,0.672985782,0.674050633,0.67192429,0.725361367,0.621621622,0.870662461,0.645962733,0.636085627,0.65615142,0.685333333,0.593533487,0.810725552
9,0.687402799,0.68847352,0.686335404,0.736164736,0.628571429,0.888198758,0.690292758,0.685015291,0.695652174,0.726572529,0.619256018,0.878881988,0.68847352,0.690625,0.686335404,0.701846966,0.610091743,0.826086957
,0.689057642,0.676814399,0.701751994,0.716624498,0.620417162,0.848145371,0.694438118,0.680691439,0.708751474,0.714102824,0.615605118,0.850123869,0.686136981,0.676531657,0.696018984,0.691024986,0.602378794,0.810263543
