,basic_f1,basic_precision,basic_recall,filtered_f1,filtered_precision,filtered_recall,noun_f1,noun_precision,noun_recall
0,0.726810673443,0.628571428571,0.861445783133,0.72819216182,0.627450980392,0.867469879518,0.708600770218,0.61744966443,0.831325301205
1,0.699865410498,0.597701149425,0.844155844156,0.692722371968,0.592165898618,0.834415584416,0.673825503356,0.574370709382,0.814935064935
2,0.741976893453,0.635164835165,0.891975308642,0.729381443299,0.62610619469,0.873456790123,0.703703703704,0.615740740741,0.820987654321
3,0.714848883049,0.62962962963,0.826747720365,0.720838794233,0.633640552995,0.835866261398,0.686327077748,0.613908872902,0.77811550152
4,0.69219858156,0.611528822055,0.797385620915,0.682651622003,0.600496277916,0.790849673203,0.676630434783,0.579069767442,0.813725490196
5,0.729763387298,0.64113785558,0.846820809249,0.731102850062,0.639913232104,0.852601156069,0.719072164948,0.648837209302,0.806358381503
6,0.689564068692,0.581291759465,0.847402597403,0.682291666667,0.569565217391,0.850649350649,0.661333333333,0.561085972851,0.805194805195
7,0.70925684485,0.625287356322,0.819277108434,0.719590268886,0.62583518931,0.846385542169,0.690196078431,0.609699769053,0.795180722892
8,0.723404255319,0.625287356322,0.858044164038,0.725361366623,0.621621621622,0.870662460568,0.685333333333,0.593533487298,0.81072555205
9,0.736164736165,0.628571428571,0.888198757764,0.726572528883,0.619256017505,0.878881987578,0.701846965699,0.610091743119,0.826086956522
